Brand,Price,Horsepower,Fuel Efficiency
Brand C,91942,382,15.3
Brand A,70075,197,32.6
Brand C,84524,188,34.9
Brand E,68939,258,15.1
Brand X,66505,277,13.0
Brand W,92762,125,18.5
Brand Y,99356,284,20.6
Brand A,38486,445,22.0
Brand A,54628,426,13.5
Brand D,93925,250,22.1
Brand D,91392,196,34.6
Brand W,44426,243,28.9
Brand B,80911,380,14.0
Brand Z,70801,434,12.1
Brand Y,56553,267,26.6
Brand C,98956,302,19.7
Brand D,41342,397,20.9
Brand Y,56788,371,16.6
Brand W,73681,368,22.8
Brand C,63849,448,23.3
Brand D,66440,392,31.5
Brand D,32201,443,31.4
Brand C,58132,271,14.4
Brand W,55534,289,21.3
Brand D,58482,326,28.2
Brand D,62941,415,30.4
Brand Z,38558,425,33.3
Brand Z,89631,159,30.4
Brand Y,81392,123,28.8
Brand Z,88737,133,15.3
Brand Y,83940,418,30.6
Brand W,78623,406,28.6
Brand E,54572,462,34.2
Brand X,90994,412,21.5
Brand E,93796,301,19.8
Brand Y,87899,375,34.5
Brand X,53136,348,29.8
Brand D,59191,372,18.0
Brand W,31549,293,20.0
Brand Y,65818,191,23.1
Brand W,32910,469,27.6
Brand A,38830,145,28.0
Brand B,49391,377,29.0
Brand Z,91045,479,15.4
Brand D,83677,451,14.2
Brand A,86547,237,22.0
Brand B,63487,399,26.4
Brand C,56290,206,19.9
Brand D,47458,388,24.8
Brand E,61479,342,22.3
Brand X,87307,488,14.2
Brand D,71988,343,16.1
Brand E,58456,138,30.1
Brand X,66884,389,34.0
Brand C,46162,417,25.6
Brand X,77816,200,12.6
Brand E,99746,417,12.6
Brand C,34281,397,33.9
Brand B,49012,250,28.1
Brand X,71598,372,19.7
Brand B,49863,449,24.4
Brand W,91999,476,25.2
Brand B,55450,186,32.5
Brand A,38366,233,13.9
Brand C,69103,132,15.9
Brand C,31700,191,32.0
Brand D,70482,474,33.0
Brand W,72835,244,31.5
Brand W,35571,354,25.5
Brand X,37908,205,14.4
Brand A,49095,197,16.6
Brand A,98767,330,10.3
Brand W,33667,283,27.7
Brand C,47868,154,14.9
Brand Y,32684,222,28.9
Brand Z,95983,271,19.6
Brand X,89267,204,24.9
Brand X,33850,408,30.5
Brand W,84671,152,16.5
Brand W,54081,212,18.0
Brand C,57404,357,34.2
Brand Z,76085,477,15.8
Brand E,94629,414,25.3
Brand C,39722,415,10.2
Brand Z,75163,176,17.9
Brand A,82723,175,25.7
Brand D,69648,242,34.0
Brand B,36457,119,31.3
Brand D,73006,175,24.4
Brand E,58809,487,18.4
Brand C,60421,472,30.8
Brand B,60815,343,20.1
Brand Y,82142,423,21.5
Brand Y,99304,449,25.8
Brand C,67139,196,16.9
Brand X,72244,209,17.0
Brand D,81681,137,18.5
Brand X,96377,102,12.1
Brand X,96461,214,28.5
Brand W,49762,128,34.0
Brand E,34119,453,17.6
Brand A,48537,181,23.4
Brand X,94739,381,22.8
Brand Y,41256,478,20.8
Brand D,80533,220,28.3
Brand D,71517,393,34.2
Brand A,73334,406,14.3
Brand W,50421,262,12.3
Brand B,48526,442,13.6
Brand Y,72626,440,21.1
Brand Y,60759,138,29.2
Brand A,33431,327,33.0
Brand D,64870,259,31.7
Brand B,70915,375,29.4
Brand D,35527,203,34.0
Brand A,38953,121,25.9
Brand W,49106,393,12.9
Brand W,50976,350,29.7
Brand W,88322,371,31.7
Brand Y,99437,364,13.1
Brand W,66089,133,15.1
Brand B,51585,372,17.5
Brand Z,61643,206,16.2
Brand B,40277,264,26.3
Brand E,49230,261,23.2
Brand D,99979,369,28.2
Brand A,52740,302,29.1
Brand D,95643,160,11.1
Brand E,71590,349,20.9
Brand D,33755,249,34.8
Brand Y,41844,130,11.7
Brand Y,80517,167,18.2
Brand W,49461,301,13.7
Brand E,30667,239,15.0
Brand A,91753,196,25.5
Brand B,78913,396,26.5
Brand C,79572,455,27.0
Brand Y,82088,321,32.7
Brand D,63779,498,34.3
Brand A,30024,349,15.9
Brand A,53227,451,26.9
Brand Y,49842,412,14.5
Brand X,58314,222,12.5
Brand A,73887,407,10.5
Brand Y,55940,408,26.3
Brand D,40672,188,28.1
Brand E,79349,426,18.7
Brand C,52431,398,18.8
Brand X,56322,225,14.3
Brand C,31816,376,11.9
Brand B,98141,412,31.9
Brand B,97568,380,13.9
Brand X,62821,250,10.4
Brand A,47132,104,33.9
Brand E,68470,169,20.5
Brand Y,45260,444,29.5
Brand D,49157,403,16.2
Brand D,36278,475,18.2
Brand X,74454,133,14.1
Brand Z,65710,128,21.0
Brand X,52075,284,31.2
Brand Y,66531,381,11.1
Brand A,46753,419,17.5
Brand E,36102,308,15.1
Brand E,51627,269,22.9
Brand W,83049,174,33.5
Brand E,45201,427,31.7
Brand C,44911,166,32.0
Brand C,51087,117,33.4
Brand A,77227,185,21.8
Brand X,88092,428,14.2
Brand E,90663,140,26.3
Brand E,70215,176,28.3
Brand Z,43713,336,32.9
Brand X,79645,192,16.0
Brand Y,38803,420,25.6
Brand A,45787,228,27.9
Brand B,64143,347,25.0
Brand Y,47139,194,31.4
Brand Z,46302,383,12.9
Brand W,34830,315,33.2
Brand Z,56555,200,31.1
Brand C,86313,387,14.4
Brand Y,83440,252,14.7
Brand Z,44961,471,32.5
Brand W,64475,357,31.2
Brand B,63805,296,15.9
Brand E,71848,472,20.1
Brand D,35720,218,22.6
Brand X,57401,314,31.2
Brand Z,32510,207,34.3
Brand E,83063,417,13.1
Brand C,44528,239,16.3
Brand D,31065,405,14.9
Brand X,84752,397,31.2
Brand Z,32209,422,32.5
Brand Y,51984,177,34.7
Brand D,37992,342,26.2
Brand B,69943,274,15.8
Brand X,59626,265,23.7
Brand E,31282,480,24.6
Brand W,76374,500,26.3
Brand B,36798,461,31.9
Brand E,86743,178,21.9
Brand D,72522,272,12.5
Brand Y,59179,401,19.1
Brand E,88828,317,16.0
Brand W,34099,395,12.4
Brand X,54533,181,15.7
Brand A,70835,302,11.5
Brand D,96273,317,10.4
Brand X,52627,431,28.5
Brand D,60078,115,10.3
Brand W,83011,349,28.7
Brand C,51934,453,28.0
Brand Z,83121,482,10.5
Brand X,76878,422,14.1
Brand C,93627,278,34.4
Brand A,91729,325,19.8
Brand C,95216,146,18.4
Brand W,80362,114,20.3
Brand Z,59416,140,12.6
Brand D,48545,198,19.2
Brand W,60640,358,34.6
Brand Z,94823,233,30.6
Brand Y,39046,500,21.6
Brand W,80807,283,32.1
Brand D,44152,431,13.5
Brand Z,52923,188,29.8
Brand B,49126,450,20.5
Brand A,79871,261,33.8
Brand Y,64565,294,16.2
Brand X,96840,208,27.7
Brand D,59222,407,11.9
Brand B,38150,354,10.4
Brand E,37538,160,23.2
Brand B,94784,134,18.1
Brand B,90681,376,15.8
Brand D,81189,457,21.2
Brand B,33926,255,15.9
Brand D,73434,438,31.0
Brand B,50046,318,16.7
Brand D,94527,183,14.8
Brand W,94111,425,19.5
Brand A,31181,451,13.4
Brand Z,37351,176,12.8
Brand Y,86551,128,29.4
Brand Y,66206,349,12.0
